arrival_time,burst_time,priority,process_type,best_algorithm,burst_priority_ratio,interaction_1,interaction_2
7,4,3,IO-bound,SJF,1.0,12,28
3,9,10,CPU-bound,Round Robin,0.8181818181818182,90,27
5,18,3,IO-bound,FCFS,4.5,54,90
1,14,2,IO-bound,Round Robin,4.666666666666667,28,14
9,5,10,CPU-bound,Priority,0.45454545454545453,50,45
17,7,9,IO-bound,Priority,0.7,63,119
4,12,4,IO-bound,Round Robin,2.4,48,48
3,17,10,CPU-bound,Priority,1.5454545454545454,170,51
10,17,7,IO-bound,FCFS,2.125,119,170
19,4,1,CPU-bound,SRTF,2.0,4,76
15,11,3,CPU-bound,FCFS,2.75,33,165
3,1,8,CPU-bound,Priority,0.1111111111111111,8,3
11,12,4,CPU-bound,FCFS,2.4,48,132
2,14,7,IO-bound,Round Robin,1.75,98,28
19,2,6,IO-bound,SRTF,0.2857142857142857,12,38
19,11,8,IO-bound,Round Robin,1.2222222222222223,88,209
0,20,7,CPU-bound,FCFS,2.5,140,0
18,6,2,CPU-bound,FCFS,2.0,12,108
17,18,6,IO-bound,Priority,2.5714285714285716,108,306
0,9,10,CPU-bound,SJF,0.8181818181818182,90,0
8,11,8,IO-bound,Priority,1.2222222222222223,88,88
19,3,7,CPU-bound,SRTF,0.375,21,57
16,20,6,CPU-bound,FCFS,2.857142857142857,120,320
20,13,9,IO-bound,Priority,1.3,117,260
5,10,7,CPU-bound,Round Robin,1.25,70,50
6,12,6,IO-bound,Round Robin,1.7142857142857142,72,72
6,20,6,IO-bound,Round Robin,2.857142857142857,120,120
12,5,10,CPU-bound,Priority,0.45454545454545453,50,60
8,12,9,IO-bound,Priority,1.2,108,96
14,20,9,CPU-bound,Priority,2.0,180,280
9,20,7,CPU-bound,Round Robin,2.5,140,180
3,2,10,IO-bound,Priority,0.18181818181818182,20,6
13,20,3,IO-bound,Round Robin,5.0,60,260
17,12,4,CPU-bound,FCFS,2.4,48,204
7,10,3,IO-bound,Round Robin,2.5,30,70
3,12,10,IO-bound,Priority,1.0909090909090908,120,36
15,8,4,IO-bound,Round Robin,1.6,32,120
3,6,1,CPU-bound,FCFS,3.0,6,18
3,11,3,IO-bound,Priority,2.75,33,33
0,15,5,IO-bound,Round Robin,2.5,75,0
9,2,1,CPU-bound,SJF,1.0,2,18
7,1,2,IO-bound,FCFS,0.3333333333333333,2,7
4,13,8,IO-bound,Priority,1.4444444444444444,104,52
5,18,1,IO-bound,Round Robin,9.0,18,90
12,9,9,CPU-bound,Round Robin,0.9,81,108
6,14,5,CPU-bound,FCFS,2.3333333333333335,70,84
13,16,10,IO-bound,Round Robin,1.4545454545454546,160,208
9,14,2,IO-bound,Round Robin,4.666666666666667,28,126
5,20,9,CPU-bound,Priority,2.0,180,100
2,3,2,CPU-bound,FCFS,1.0,6,6
1,8,4,IO-bound,Round Robin,1.6,32,8
20,11,7,CPU-bound,FCFS,1.375,77,220
11,11,6,IO-bound,Round Robin,1.5714285714285714,66,121
15,7,2,IO-bound,Priority,2.3333333333333335,14,105
17,19,5,IO-bound,Round Robin,3.1666666666666665,95,323
6,11,6,IO-bound,FCFS,1.5714285714285714,66,66
4,19,10,CPU-bound,SJF,1.7272727272727273,190,76
4,10,1,CPU-bound,FCFS,5.0,10,40
17,15,10,IO-bound,Priority,1.3636363636363635,150,255
20,19,1,CPU-bound,Round Robin,9.5,19,380
16,20,4,IO-bound,Round Robin,4.0,80,320
11,8,1,IO-bound,Round Robin,4.0,8,88
12,6,6,CPU-bound,Round Robin,0.8571428571428571,36,72
2,16,6,CPU-bound,FCFS,2.2857142857142856,96,32
19,11,1,CPU-bound,FCFS,5.5,11,209
0,17,3,IO-bound,Round Robin,4.25,51,0
18,12,6,IO-bound,Priority,1.7142857142857142,72,216
4,17,2,IO-bound,Round Robin,5.666666666666667,34,68
19,18,4,IO-bound,FCFS,3.6,72,342
19,7,7,CPU-bound,SJF,0.875,49,133
7,12,1,IO-bound,FCFS,6.0,12,84
14,1,9,IO-bound,Round Robin,0.1,9,14
6,16,7,CPU-bound,Round Robin,2.0,112,96
5,13,9,IO-bound,Priority,1.3,117,65
20,9,9,IO-bound,Priority,0.9,81,180
15,13,5,IO-bound,Round Robin,2.1666666666666665,65,195
4,11,9,CPU-bound,SJF,1.1,99,44
0,20,10,CPU-bound,Priority,1.8181818181818181,200,0
9,19,5,IO-bound,Priority,3.1666666666666665,95,171
9,14,9,IO-bound,Round Robin,1.4,126,126
15,14,6,IO-bound,Round Robin,2.0,84,210
8,6,8,CPU-bound,Round Robin,0.6666666666666666,48,48
2,5,1,IO-bound,SJF,2.5,5,10
17,6,4,IO-bound,Priority,1.2,24,102
16,12,1,CPU-bound,Round Robin,6.0,12,192
13,2,4,CPU-bound,SJF,0.4,8,26
3,3,9,CPU-bound,Priority,0.3,27,9
6,4,1,CPU-bound,FCFS,2.0,4,24
9,4,7,CPU-bound,Round Robin,0.5,28,36
20,20,5,IO-bound,Priority,3.3333333333333335,100,400
19,18,3,CPU-bound,Round Robin,4.5,54,342
2,4,4,IO-bound,SJF,0.8,16,8
2,10,6,CPU-bound,FCFS,1.4285714285714286,60,20
14,16,3,CPU-bound,Round Robin,4.0,48,224
16,18,10,IO-bound,Priority,1.6363636363636365,180,288
20,8,10,IO-bound,Priority,0.7272727272727273,80,160
12,6,6,IO-bound,Round Robin,0.8571428571428571,36,72
19,8,4,CPU-bound,FCFS,1.6,32,152
17,10,2,CPU-bound,FCFS,3.3333333333333335,20,170
6,8,5,CPU-bound,SJF,1.3333333333333333,40,48
8,3,7,CPU-bound,SJF,0.375,21,24
7,5,4,CPU-bound,FCFS,1.0,20,35
2,3,3,CPU-bound,SJF,0.75,9,6
10,12,7,CPU-bound,Round Robin,1.5,84,120
19,1,4,CPU-bound,SRTF,0.2,4,19
3,8,1,CPU-bound,FCFS,4.0,8,24
4,8,8,CPU-bound,Priority,0.8888888888888888,64,32
17,11,7,CPU-bound,FCFS,1.375,77,187
0,12,3,IO-bound,Round Robin,3.0,36,0
12,4,9,CPU-bound,Priority,0.4,36,48
3,15,5,IO-bound,FCFS,2.5,75,45
15,2,10,IO-bound,Priority,0.18181818181818182,20,30
18,3,5,IO-bound,SRTF,0.5,15,54
13,17,6,IO-bound,FCFS,2.4285714285714284,102,221
12,12,9,IO-bound,Round Robin,1.2,108,144
18,7,1,CPU-bound,Round Robin,3.5,7,126
6,9,9,CPU-bound,Priority,0.9,81,54
16,3,4,IO-bound,SRTF,0.6,12,48
11,9,10,IO-bound,Priority,0.8181818181818182,90,99
16,11,2,IO-bound,FCFS,3.6666666666666665,22,176
6,13,1,IO-bound,Round Robin,6.5,13,78
14,9,8,IO-bound,Priority,1.0,72,126
18,17,7,IO-bound,Round Robin,2.125,119,306
6,4,2,CPU-bound,SJF,1.3333333333333333,8,24
13,13,2,IO-bound,Round Robin,4.333333333333333,26,169
13,15,10,CPU-bound,Priority,1.3636363636363635,150,195
10,8,1,CPU-bound,SJF,4.0,8,80
5,9,2,IO-bound,Round Robin,3.0,18,45
1,8,8,IO-bound,Round Robin,0.8888888888888888,64,8
8,17,2,IO-bound,Priority,5.666666666666667,34,136
9,8,4,IO-bound,Round Robin,1.6,32,72
7,1,7,CPU-bound,SJF,0.125,7,7
18,7,4,IO-bound,FCFS,1.4,28,126
0,7,1,CPU-bound,Round Robin,3.5,7,0
5,13,6,CPU-bound,FCFS,1.8571428571428572,78,65
6,20,9,IO-bound,Round Robin,2.0,180,120
5,15,7,IO-bound,Round Robin,1.875,105,75
16,5,3,CPU-bound,SJF,1.25,15,80
10,14,4,CPU-bound,FCFS,2.8,56,140
0,12,10,CPU-bound,Priority,1.0909090909090908,120,0
2,11,10,IO-bound,Priority,1.0,110,22
12,6,5,CPU-bound,FCFS,1.0,30,72
20,16,1,CPU-bound,FCFS,8.0,16,320
4,20,8,IO-bound,Priority,2.2222222222222223,160,80
2,1,7,IO-bound,SJF,0.125,7,2
17,2,10,IO-bound,Priority,0.18181818181818182,20,34
20,6,6,IO-bound,FCFS,0.8571428571428571,36,120
2,10,1,CPU-bound,FCFS,5.0,10,20
18,4,7,CPU-bound,SRTF,0.5,28,72
12,19,8,IO-bound,SJF,2.111111111111111,152,228
19,4,8,CPU-bound,Priority,0.4444444444444444,32,76
9,6,5,IO-bound,FCFS,1.0,30,54
19,20,10,CPU-bound,Priority,1.8181818181818181,200,380
20,15,3,CPU-bound,FCFS,3.75,45,300
3,4,9,IO-bound,Priority,0.4,36,12
1,10,1,CPU-bound,FCFS,5.0,10,10
3,20,4,CPU-bound,Round Robin,4.0,80,60
5,9,3,CPU-bound,Round Robin,2.25,27,45
18,14,6,IO-bound,Round Robin,2.0,84,252
14,10,6,IO-bound,FCFS,1.4285714285714286,60,140
9,2,4,IO-bound,FCFS,0.4,8,18
3,2,1,IO-bound,FCFS,1.0,2,6
11,10,5,IO-bound,Round Robin,1.6666666666666667,50,110
2,19,5,IO-bound,FCFS,3.1666666666666665,95,38
8,5,8,CPU-bound,Priority,0.5555555555555556,40,40
5,20,10,IO-bound,Round Robin,1.8181818181818181,200,100
14,7,5,IO-bound,Round Robin,1.1666666666666667,35,98
2,8,9,CPU-bound,Priority,0.8,72,16
13,1,5,CPU-bound,SRTF,0.16666666666666666,5,13
3,10,9,CPU-bound,Priority,1.0,90,30
3,14,10,IO-bound,Round Robin,1.2727272727272727,140,42
11,7,2,IO-bound,Round Robin,2.3333333333333335,14,77
5,10,6,CPU-bound,FCFS,1.4285714285714286,60,50
18,9,4,CPU-bound,FCFS,1.8,36,162
15,17,8,CPU-bound,Priority,1.8888888888888888,136,255
4,16,8,IO-bound,Round Robin,1.7777777777777777,128,64
9,3,6,IO-bound,SJF,0.42857142857142855,18,27
16,17,9,IO-bound,Priority,1.7,153,272
10,1,1,CPU-bound,FCFS,0.5,1,10
7,9,8,IO-bound,Priority,1.0,72,63
9,15,3,CPU-bound,Round Robin,3.75,45,135
10,3,9,CPU-bound,Priority,0.3,27,30
15,15,10,IO-bound,Priority,1.3636363636363635,150,225
9,12,4,IO-bound,Round Robin,2.4,48,108
17,4,2,IO-bound,SRTF,1.3333333333333333,8,68
14,6,5,IO-bound,Round Robin,1.0,30,84
12,11,3,CPU-bound,Round Robin,2.75,33,132
5,8,10,IO-bound,SJF,0.7272727272727273,80,40
14,13,1,CPU-bound,FCFS,6.5,13,182
3,9,3,CPU-bound,FCFS,2.25,27,27
11,16,1,CPU-bound,FCFS,8.0,16,176
10,15,10,CPU-bound,Round Robin,1.3636363636363635,150,150
2,10,6,CPU-bound,FCFS,1.4285714285714286,60,20
8,11,4,CPU-bound,FCFS,2.2,44,88
11,17,5,IO-bound,Priority,2.8333333333333335,85,187
19,5,4,CPU-bound,Round Robin,1.0,20,95
12,19,10,CPU-bound,Priority,1.7272727272727273,190,228
12,5,1,IO-bound,SRTF,2.5,5,60
14,12,5,CPU-bound,FCFS,2.0,60,168
16,1,1,CPU-bound,SJF,0.5,1,16
2,12,5,CPU-bound,FCFS,2.0,60,24
10,1,10,CPU-bound,Priority,0.09090909090909091,10,10
18,1,7,IO-bound,SRTF,0.125,7,18
5,4,5,CPU-bound,SJF,0.6666666666666666,20,20
2,8,2,IO-bound,Priority,2.6666666666666665,16,16
17,9,7,CPU-bound,Round Robin,1.125,63,153
2,8,5,CPU-bound,FCFS,1.3333333333333333,40,16
8,7,4,IO-bound,Round Robin,1.4,28,56
10,16,9,CPU-bound,Priority,1.6,144,160
18,6,3,CPU-bound,FCFS,1.5,18,108
15,9,9,IO-bound,Priority,0.9,81,135
18,6,1,IO-bound,FCFS,3.0,6,108
10,12,2,CPU-bound,FCFS,4.0,24,120
1,19,9,IO-bound,Priority,1.9,171,19
1,19,5,IO-bound,Round Robin,3.1666666666666665,95,19
11,19,5,IO-bound,FCFS,3.1666666666666665,95,209
17,2,6,CPU-bound,SRTF,0.2857142857142857,12,34
1,4,6,IO-bound,SJF,0.5714285714285714,24,4
5,12,3,IO-bound,FCFS,3.0,36,60
4,20,9,IO-bound,Priority,2.0,180,80
6,8,1,IO-bound,FCFS,4.0,8,48
5,15,2,IO-bound,FCFS,5.0,30,75
20,1,5,CPU-bound,SJF,0.16666666666666666,5,20
10,6,5,CPU-bound,SJF,1.0,30,60
2,3,7,IO-bound,SJF,0.375,21,6
14,3,6,IO-bound,SRTF,0.42857142857142855,18,42
11,7,9,IO-bound,Priority,0.7,63,77
0,14,3,IO-bound,Round Robin,3.5,42,0
0,12,7,CPU-bound,FCFS,1.5,84,0
11,10,1,IO-bound,Round Robin,5.0,10,110
19,4,5,CPU-bound,SRTF,0.6666666666666666,20,76
2,6,1,CPU-bound,FCFS,3.0,6,12
19,19,10,CPU-bound,Priority,1.7272727272727273,190,361
18,11,10,CPU-bound,Priority,1.0,110,198
11,10,9,IO-bound,SJF,1.0,90,110
19,8,5,CPU-bound,Round Robin,1.3333333333333333,40,152
16,16,2,CPU-bound,Round Robin,5.333333333333333,32,256
16,15,3,CPU-bound,Round Robin,3.75,45,240
5,9,10,CPU-bound,Priority,0.8181818181818182,90,45
1,7,3,IO-bound,Round Robin,1.75,21,7
0,4,4,IO-bound,FCFS,0.8,16,0
1,6,8,CPU-bound,Priority,0.6666666666666666,48,6
4,6,8,IO-bound,Priority,0.6666666666666666,48,24
5,15,7,IO-bound,FCFS,1.875,105,75
17,11,3,IO-bound,Round Robin,2.75,33,187
7,19,6,CPU-bound,Round Robin,2.7142857142857144,114,133
20,4,1,CPU-bound,SRTF,2.0,4,80
0,16,10,IO-bound,Round Robin,1.4545454545454546,160,0
11,17,8,CPU-bound,Round Robin,1.8888888888888888,136,187
7,1,8,IO-bound,Priority,0.1111111111111111,8,7
2,14,8,IO-bound,Round Robin,1.5555555555555556,112,28
1,16,2,CPU-bound,FCFS,5.333333333333333,32,16
1,15,1,CPU-bound,FCFS,7.5,15,15
19,1,9,IO-bound,Round Robin,0.1,9,19
2,1,8,IO-bound,Priority,0.1111111111111111,8,2
13,16,7,CPU-bound,FCFS,2.0,112,208
17,15,4,IO-bound,FCFS,3.0,60,255
5,18,3,IO-bound,Round Robin,4.5,54,90
0,7,7,CPU-bound,Round Robin,0.875,49,0
17,7,7,CPU-bound,Round Robin,0.875,49,119
6,3,5,IO-bound,SJF,0.5,15,18
12,4,6,IO-bound,SRTF,0.5714285714285714,24,48
17,16,8,IO-bound,Priority,1.7777777777777777,128,272
1,13,6,IO-bound,Round Robin,1.8571428571428572,78,13
5,11,6,CPU-bound,FCFS,1.5714285714285714,66,55
2,5,10,CPU-bound,Priority,0.45454545454545453,50,10
12,17,2,IO-bound,Round Robin,5.666666666666667,34,204
11,16,5,IO-bound,FCFS,2.6666666666666665,80,176
17,12,10,IO-bound,Priority,1.0909090909090908,120,204
20,4,1,CPU-bound,SRTF,2.0,4,80
1,7,5,IO-bound,FCFS,1.1666666666666667,35,7
17,12,3,IO-bound,Round Robin,3.0,36,204
5,2,10,IO-bound,Round Robin,0.18181818181818182,20,10
1,2,8,CPU-bound,Priority,0.2222222222222222,16,2
17,9,7,IO-bound,FCFS,1.125,63,153
8,1,9,CPU-bound,Priority,0.1,9,8
2,11,4,IO-bound,Round Robin,2.2,44,22
3,11,2,IO-bound,FCFS,3.6666666666666665,22,33
8,7,5,IO-bound,Round Robin,1.1666666666666667,35,56
3,19,1,IO-bound,Round Robin,9.5,19,57
17,18,9,CPU-bound,Priority,1.8,162,306
4,16,4,CPU-bound,SJF,3.2,64,64
16,15,8,CPU-bound,Priority,1.6666666666666667,120,240
9,4,2,IO-bound,SJF,1.3333333333333333,8,36
6,5,9,IO-bound,Priority,0.5,45,30
20,2,1,CPU-bound,SRTF,1.0,2,40
8,17,10,IO-bound,Priority,1.5454545454545454,170,136
12,5,5,IO-bound,SJF,0.8333333333333334,25,60
10,6,5,CPU-bound,Round Robin,1.0,30,60
7,4,1,CPU-bound,SJF,2.0,4,28
11,18,4,CPU-bound,Round Robin,3.6,72,198
13,5,5,IO-bound,SRTF,0.8333333333333334,25,65
15,18,1,CPU-bound,SJF,9.0,18,270
17,19,6,CPU-bound,FCFS,2.7142857142857144,114,323
3,1,4,CPU-bound,SJF,0.2,4,3
20,12,4,CPU-bound,FCFS,2.4,48,240
15,16,6,IO-bound,FCFS,2.2857142857142856,96,240
6,3,1,CPU-bound,SJF,1.5,3,18
15,11,5,CPU-bound,FCFS,1.8333333333333333,55,165
20,4,6,IO-bound,SJF,0.5714285714285714,24,80
8,20,9,CPU-bound,Priority,2.0,180,160
11,13,5,CPU-bound,FCFS,2.1666666666666665,65,143
12,8,4,IO-bound,Round Robin,1.6,32,96
0,18,3,IO-bound,Round Robin,4.5,54,0
13,7,10,CPU-bound,Round Robin,0.6363636363636364,70,91
2,8,4,IO-bound,FCFS,1.6,32,16
10,12,4,CPU-bound,Round Robin,2.4,48,120
15,20,3,CPU-bound,FCFS,5.0,60,300
4,4,9,IO-bound,SJF,0.4,36,16
12,4,1,CPU-bound,SRTF,2.0,4,48
17,16,8,IO-bound,Round Robin,1.7777777777777777,128,272
