process_id,arrival_time,burst_time,priority,process_type,short_job,long_job,io_flag,cpu_flag,high_priority,dynamic_arrival,best_algorithm
P47,5,17,7,IO-bound,0,1,1,0,1,0,Round Robin
P48,17,17,3,CPU-bound,0,1,0,1,0,1,FCFS
P49,1,13,7,IO-bound,0,1,1,0,1,0,Round Robin
P50,19,17,5,IO-bound,0,1,1,0,0,1,Round Robin
P51,0,7,10,CPU-bound,0,1,0,1,1,0,Priority
P52,3,11,3,CPU-bound,0,1,0,1,0,0,FCFS
P53,10,18,1,IO-bound,0,1,1,0,0,0,Round Robin
P54,16,17,8,IO-bound,0,1,1,0,1,1,Priority
P55,11,13,9,CPU-bound,0,1,0,1,1,1,Priority
P56,16,18,9,CPU-bound,0,1,0,1,1,1,Priority
P57,6,12,1,IO-bound,0,1,1,0,0,0,Round Robin
P58,13,4,7,CPU-bound,1,0,0,1,1,1,SRTF
P59,16,1,6,CPU-bound,1,0,0,1,0,1,SRTF
P60,13,9,1,IO-bound,0,1,1,0,0,1,Round Robin
P61,6,12,9,CPU-bound,0,1,0,1,1,0,Priority
P62,11,11,2,CPU-bound,0,1,0,1,0,1,FCFS
P63,10,5,10,CPU-bound,1,0,0,1,1,0,Priority
P64,10,5,7,IO-bound,1,0,1,0,1,0,SJF
P65,15,6,8,IO-bound,0,1,1,0,1,1,Priority
P66,15,3,10,CPU-bound,1,0,0,1,1,1,Priority
P67,10,18,10,CPU-bound,0,1,0,1,1,0,Priority
P68,11,17,1,IO-bound,0,1,1,0,0,1,Round Robin
P69,1,17,3,CPU-bound,0,1,0,1,0,0,FCFS
P70,1,7,1,IO-bound,0,1,1,0,0,0,Round Robin
P71,17,16,5,CPU-bound,0,1,0,1,0,1,FCFS
P72,1,8,3,IO-bound,0,1,1,0,0,0,Round Robin
P73,1,8,8,IO-bound,0,1,1,0,1,0,Priority
P74,5,10,8,CPU-bound,0,1,0,1,1,0,Priority
P75,9,8,5,CPU-bound,0,1,0,1,0,0,FCFS
P76,18,5,6,CPU-bound,1,0,0,1,0,1,SRTF
P77,20,10,10,IO-bound,0,1,1,0,1,1,Priority
P78,3,15,7,IO-bound,0,1,1,0,1,0,Round Robin
P79,14,16,5,CPU-bound,0,1,0,1,0,1,FCFS
P80,1,19,5,IO-bound,0,1,1,0,0,0,Round Robin
P81,7,6,5,IO-bound,0,1,1,0,0,0,Round Robin
P82,6,3,9,CPU-bound,1,0,0,1,1,0,Priority
P83,4,12,9,CPU-bound,0,1,0,1,1,0,Priority
P84,9,8,1,CPU-bound,0,1,0,1,0,0,FCFS
P85,5,18,10,CPU-bound,0,1,0,1,1,0,Priority
P86,7,9,6,IO-bound,0,1,1,0,0,0,Round Robin
P87,2,19,3,IO-bound,0,1,1,0,0,0,Round Robin
P88,20,13,6,IO-bound,0,1,1,0,0,1,Round Robin
P89,7,16,4,IO-bound,0,1,1,0,0,0,Round Robin
P90,15,18,5,IO-bound,0,1,1,0,0,1,Round Robin
P91,13,8,10,CPU-bound,0,1,0,1,1,1,Priority
P92,4,13,8,CPU-bound,0,1,0,1,1,0,Priority
P93,12,8,3,CPU-bound,0,1,0,1,0,1,FCFS
P94,13,10,9,IO-bound,0,1,1,0,1,1,Priority
P95,19,1,8,CPU-bound,1,0,0,1,1,1,Priority
P96,10,6,1,IO-bound,0,1,1,0,0,0,Round Robin
P97,1,19,6,IO-bound,0,1,1,0,0,0,Round Robin
P98,10,17,8,IO-bound,0,1,1,0,1,0,Priority
P99,12,10,4,CPU-bound,0,1,0,1,0,1,FCFS
P100,0,17,3,CPU-bound,0,1,0,1,0,0,FCFS
P101,3,20,4,IO-bound,0,1,1,0,0,0,Round Robin
P102,14,7,4,IO-bound,0,1,1,0,0,1,Round Robin
P103,7,20,9,IO-bound,0,1,1,0,1,0,Priority
P104,13,12,10,IO-bound,0,1,1,0,1,1,Priority
P105,8,17,9,IO-bound,0,1,1,0,1,0,Priority
P106,12,11,8,IO-bound,0,1,1,0,1,1,Priority
P107,15,17,4,CPU-bound,0,1,0,1,0,1,FCFS
P108,14,2,1,IO-bound,1,0,1,0,0,1,SRTF
P109,13,6,3,IO-bound,0,1,1,0,0,1,Round Robin
P110,1,20,8,CPU-bound,0,1,0,1,1,0,Priority
P111,18,13,3,CPU-bound,0,1,0,1,0,1,FCFS
P112,11,10,7,IO-bound,0,1,1,0,1,1,Round Robin
P113,8,20,9,CPU-bound,0,1,0,1,1,0,Priority
P114,19,20,4,CPU-bound,0,1,0,1,0,1,FCFS
P115,16,9,4,IO-bound,0,1,1,0,0,1,Round Robin
P116,5,7,7,CPU-bound,0,1,0,1,1,0,FCFS
P117,20,13,10,IO-bound,0,1,1,0,1,1,Priority
P118,18,7,3,IO-bound,0,1,1,0,0,1,Round Robin
P119,15,7,6,CPU-bound,0,1,0,1,0,1,FCFS
P120,7,3,9,CPU-bound,1,0,0,1,1,0,Priority
P121,18,9,10,IO-bound,0,1,1,0,1,1,Priority
P122,17,11,8,CPU-bound,0,1,0,1,1,1,Priority
P123,9,1,1,CPU-bound,1,0,0,1,0,0,SJF
P124,19,17,1,IO-bound,0,1,1,0,0,1,Round Robin
P125,19,18,2,CPU-bound,0,1,0,1,0,1,FCFS
P126,20,13,8,CPU-bound,0,1,0,1,1,1,Priority
P127,7,2,9,IO-bound,1,0,1,0,1,0,Priority
P128,14,4,10,IO-bound,1,0,1,0,1,1,Priority
P129,19,4,2,IO-bound,1,0,1,0,0,1,SRTF
P130,5,18,10,CPU-bound,0,1,0,1,1,0,Priority
P131,5,16,10,CPU-bound,0,1,0,1,1,0,Priority
P132,14,2,2,CPU-bound,1,0,0,1,0,1,SRTF
P133,3,17,6,IO-bound,0,1,1,0,0,0,Round Robin
P134,20,2,8,IO-bound,1,0,1,0,1,1,Priority
P135,10,5,8,CPU-bound,1,0,0,1,1,0,Priority
P136,0,16,2,IO-bound,0,1,1,0,0,0,Round Robin
P137,11,20,1,CPU-bound,0,1,0,1,0,1,FCFS
P138,18,17,5,IO-bound,0,1,1,0,0,1,Round Robin
P139,15,18,7,CPU-bound,0,1,0,1,1,1,FCFS
P140,6,8,7,CPU-bound,0,1,0,1,1,0,FCFS
P141,4,16,10,IO-bound,0,1,1,0,1,0,Priority
P142,0,8,2,CPU-bound,0,1,0,1,0,0,FCFS
P143,2,7,7,CPU-bound,0,1,0,1,1,0,FCFS
P144,12,17,8,CPU-bound,0,1,0,1,1,1,Priority
P145,16,13,3,IO-bound,0,1,1,0,0,1,Round Robin
P146,19,14,6,IO-bound,0,1,1,0,0,1,Round Robin
P147,7,14,1,IO-bound,0,1,1,0,0,0,Round Robin
P148,1,20,2,CPU-bound,0,1,0,1,0,0,FCFS
P149,19,4,5,IO-bound,1,0,1,0,0,1,SRTF
P150,8,19,6,CPU-bound,0,1,0,1,0,0,FCFS
P151,19,6,9,IO-bound,0,1,1,0,1,1,Priority
P152,2,12,5,CPU-bound,0,1,0,1,0,0,FCFS
P153,18,11,6,IO-bound,0,1,1,0,0,1,Round Robin
P154,16,11,1,IO-bound,0,1,1,0,0,1,Round Robin
P155,4,3,10,CPU-bound,1,0,0,1,1,0,Priority
P156,6,17,4,CPU-bound,0,1,0,1,0,0,FCFS
P157,13,8,10,IO-bound,0,1,1,0,1,1,Priority
P158,17,13,5,CPU-bound,0,1,0,1,0,1,FCFS
P159,18,15,1,CPU-bound,0,1,0,1,0,1,FCFS
P160,15,6,7,CPU-bound,0,1,0,1,1,1,FCFS
P161,7,3,3,CPU-bound,1,0,0,1,0,0,SJF
P162,20,2,9,CPU-bound,1,0,0,1,1,1,Priority
P163,13,8,9,IO-bound,0,1,1,0,1,1,Priority
P164,7,20,7,IO-bound,0,1,1,0,1,0,Round Robin
P165,15,11,8,CPU-bound,0,1,0,1,1,1,Priority
P166,12,5,8,IO-bound,1,0,1,0,1,1,Priority
P167,7,17,8,IO-bound,0,1,1,0,1,0,Priority
P168,16,18,4,CPU-bound,0,1,0,1,0,1,FCFS
P169,12,3,2,IO-bound,1,0,1,0,0,1,SRTF
P170,9,14,2,CPU-bound,0,1,0,1,0,0,FCFS
P171,10,1,2,IO-bound,1,0,1,0,0,0,SJF
P172,15,5,7,CPU-bound,1,0,0,1,1,1,SRTF
P173,20,4,10,IO-bound,1,0,1,0,1,1,Priority
P174,4,4,7,IO-bound,1,0,1,0,1,0,SJF
P175,5,4,2,CPU-bound,1,0,0,1,0,0,SJF
P176,3,20,1,CPU-bound,0,1,0,1,0,0,FCFS
P177,12,8,2,CPU-bound,0,1,0,1,0,1,FCFS
P178,17,7,2,CPU-bound,0,1,0,1,0,1,FCFS
P179,15,16,2,IO-bound,0,1,1,0,0,1,Round Robin
P180,5,16,5,CPU-bound,0,1,0,1,0,0,FCFS
P181,2,13,8,CPU-bound,0,1,0,1,1,0,Priority
P182,3,20,4,CPU-bound,0,1,0,1,0,0,FCFS
P183,17,4,10,IO-bound,1,0,1,0,1,1,Priority
P184,6,17,9,CPU-bound,0,1,0,1,1,0,Priority
P185,16,14,9,CPU-bound,0,1,0,1,1,1,Priority
P186,7,20,4,IO-bound,0,1,1,0,0,0,Round Robin
P187,17,13,2,CPU-bound,0,1,0,1,0,1,FCFS
P188,1,20,1,IO-bound,0,1,1,0,0,0,Round Robin
P189,13,3,1,IO-bound,1,0,1,0,0,1,SRTF
P190,3,1,5,CPU-bound,1,0,0,1,0,0,SJF
P191,6,5,10,IO-bound,1,0,1,0,1,0,Priority
P192,18,14,9,CPU-bound,0,1,0,1,1,1,Priority
P193,8,5,6,IO-bound,1,0,1,0,0,0,SJF
P194,7,2,6,CPU-bound,1,0,0,1,0,0,SJF
P195,20,9,8,IO-bound,0,1,1,0,1,1,Priority
P196,10,1,6,CPU-bound,1,0,0,1,0,0,SJF
P197,7,12,10,CPU-bound,0,1,0,1,1,0,Priority
P198,6,3,2,CPU-bound,1,0,0,1,0,0,SJF
P199,19,9,5,CPU-bound,0,1,0,1,0,1,FCFS
P200,15,12,7,CPU-bound,0,1,0,1,1,1,FCFS
P201,14,3,6,IO-bound,1,0,1,0,0,1,SRTF
P202,2,2,1,IO-bound,1,0,1,0,0,0,SJF
P203,14,7,3,CPU-bound,0,1,0,1,0,1,FCFS
P204,8,14,10,CPU-bound,0,1,0,1,1,0,Priority
P205,18,6,2,IO-bound,0,1,1,0,0,1,Round Robin
P206,14,19,3,IO-bound,0,1,1,0,0,1,Round Robin
P207,15,20,5,CPU-bound,0,1,0,1,0,1,FCFS
P208,18,19,3,CPU-bound,0,1,0,1,0,1,FCFS
P209,19,3,4,CPU-bound,1,0,0,1,0,1,SRTF
P210,17,1,5,IO-bound,1,0,1,0,0,1,SRTF
P211,2,19,7,IO-bound,0,1,1,0,1,0,Round Robin
P212,14,13,3,IO-bound,0,1,1,0,0,1,Round Robin
P213,18,10,3,IO-bound,0,1,1,0,0,1,Round Robin
P214,1,7,9,IO-bound,0,1,1,0,1,0,Priority
P215,16,19,2,IO-bound,0,1,1,0,0,1,Round Robin
P216,4,2,10,IO-bound,1,0,1,0,1,0,Priority
P217,1,3,1,CPU-bound,1,0,0,1,0,0,SJF
P218,14,8,10,CPU-bound,0,1,0,1,1,1,Priority
P219,7,13,2,CPU-bound,0,1,0,1,0,0,FCFS
P220,4,16,3,CPU-bound,0,1,0,1,0,0,FCFS
P221,18,1,5,IO-bound,1,0,1,0,0,1,SRTF
P222,6,5,3,IO-bound,1,0,1,0,0,0,SJF
P223,19,1,7,IO-bound,1,0,1,0,1,1,SRTF
P224,14,12,4,IO-bound,0,1,1,0,0,1,Round Robin
P225,5,9,8,IO-bound,0,1,1,0,1,0,Priority
P226,15,18,5,IO-bound,0,1,1,0,0,1,Round Robin
P227,16,2,8,CPU-bound,1,0,0,1,1,1,Priority
P228,2,13,3,IO-bound,0,1,1,0,0,0,Round Robin
P229,11,3,4,CPU-bound,1,0,0,1,0,1,SRTF
P230,20,15,8,CPU-bound,0,1,0,1,1,1,Priority
P231,1,19,1,CPU-bound,0,1,0,1,0,0,FCFS
P232,16,11,3,CPU-bound,0,1,0,1,0,1,FCFS
P233,5,7,2,IO-bound,0,1,1,0,0,0,Round Robin
P234,7,3,1,IO-bound,1,0,1,0,0,0,SJF
P235,4,16,8,IO-bound,0,1,1,0,1,0,Priority
P236,1,10,9,CPU-bound,0,1,0,1,1,0,Priority
P237,7,2,8,CPU-bound,1,0,0,1,1,0,Priority
P238,14,5,7,IO-bound,1,0,1,0,1,1,SRTF
P239,13,5,9,IO-bound,1,0,1,0,1,1,Priority
P240,2,10,6,IO-bound,0,1,1,0,0,0,Round Robin
P241,3,13,3,CPU-bound,0,1,0,1,0,0,FCFS
P242,15,4,1,IO-bound,1,0,1,0,0,1,SRTF
P243,4,19,3,CPU-bound,0,1,0,1,0,0,FCFS
P244,19,1,6,IO-bound,1,0,1,0,0,1,SRTF
P245,0,3,5,CPU-bound,1,0,0,1,0,0,SJF
P246,4,14,5,IO-bound,0,1,1,0,0,0,Round Robin
P247,8,3,3,IO-bound,1,0,1,0,0,0,SJF
P248,14,9,2,CPU-bound,0,1,0,1,0,1,FCFS
P249,18,6,10,CPU-bound,0,1,0,1,1,1,Priority
P250,13,19,3,CPU-bound,0,1,0,1,0,1,FCFS
P251,4,17,10,IO-bound,0,1,1,0,1,0,Priority
P252,10,8,10,CPU-bound,0,1,0,1,1,0,Priority
P253,14,13,9,CPU-bound,0,1,0,1,1,1,Priority
P254,1,12,2,CPU-bound,0,1,0,1,0,0,FCFS
P255,19,7,1,IO-bound,0,1,1,0,0,1,Round Robin
P256,8,19,10,IO-bound,0,1,1,0,1,0,Priority
P257,10,4,6,IO-bound,1,0,1,0,0,0,SJF
P258,2,1,4,IO-bound,1,0,1,0,0,0,SJF
P259,12,17,7,IO-bound,0,1,1,0,1,1,Round Robin
P260,4,3,7,CPU-bound,1,0,0,1,1,0,SJF
P261,6,14,5,IO-bound,0,1,1,0,0,0,Round Robin
P262,5,12,6,IO-bound,0,1,1,0,0,0,Round Robin
P263,8,16,8,CPU-bound,0,1,0,1,1,0,Priority
P264,12,10,1,IO-bound,0,1,1,0,0,1,Round Robin
P265,17,16,4,CPU-bound,0,1,0,1,0,1,FCFS
P266,13,12,5,IO-bound,0,1,1,0,0,1,Round Robin
P267,20,3,6,CPU-bound,1,0,0,1,0,1,SRTF
P268,19,5,9,IO-bound,1,0,1,0,1,1,Priority
P269,11,8,5,CPU-bound,0,1,0,1,0,1,FCFS
P270,2,14,10,IO-bound,0,1,1,0,1,0,Priority
P271,14,10,9,IO-bound,0,1,1,0,1,1,Priority
P272,17,8,10,IO-bound,0,1,1,0,1,1,Priority
P273,9,18,3,IO-bound,0,1,1,0,0,0,Round Robin
P274,10,16,4,IO-bound,0,1,1,0,0,0,Round Robin
P275,8,1,8,CPU-bound,1,0,0,1,1,0,Priority
P276,12,6,7,IO-bound,0,1,1,0,1,1,Round Robin
P277,13,19,8,CPU-bound,0,1,0,1,1,1,Priority
P278,8,10,1,IO-bound,0,1,1,0,0,0,Round Robin
P279,17,17,2,CPU-bound,0,1,0,1,0,1,FCFS
P280,12,10,3,IO-bound,0,1,1,0,0,1,Round Robin
P281,3,16,10,CPU-bound,0,1,0,1,1,0,Priority
P282,1,5,3,IO-bound,1,0,1,0,0,0,SJF
P283,19,8,6,CPU-bound,0,1,0,1,0,1,FCFS
P284,10,5,7,CPU-bound,1,0,0,1,1,0,SJF
P285,20,4,6,IO-bound,1,0,1,0,0,1,SRTF
P286,10,1,4,IO-bound,1,0,1,0,0,0,SJF
P287,17,16,10,CPU-bound,0,1,0,1,1,1,Priority
P288,7,6,10,CPU-bound,0,1,0,1,1,0,Priority
P289,4,10,8,CPU-bound,0,1,0,1,1,0,Priority
P290,1,15,7,CPU-bound,0,1,0,1,1,0,FCFS
P291,8,7,9,CPU-bound,0,1,0,1,1,0,Priority
P292,15,5,7,IO-bound,1,0,1,0,1,1,SRTF
P293,0,1,1,IO-bound,1,0,1,0,0,0,SJF
P294,16,14,2,IO-bound,0,1,1,0,0,1,Round Robin
P295,5,17,7,CPU-bound,0,1,0,1,1,0,FCFS
P296,15,13,7,IO-bound,0,1,1,0,1,1,Round Robin
P297,14,12,3,CPU-bound,0,1,0,1,0,1,FCFS
P298,15,14,7,IO-bound,0,1,1,0,1,1,Round Robin
P299,6,19,10,CPU-bound,0,1,0,1,1,0,Priority
P300,5,17,6,IO-bound,0,1,1,0,0,0,Round Robin
P301,18,9,7,CPU-bound,0,1,0,1,1,1,FCFS
P302,2,20,6,CPU-bound,0,1,0,1,0,0,FCFS
P303,20,5,3,CPU-bound,1,0,0,1,0,1,SRTF
P304,11,10,7,IO-bound,0,1,1,0,1,1,Round Robin
P305,4,3,5,CPU-bound,1,0,0,1,0,0,SJF
P306,4,6,8,CPU-bound,0,1,0,1,1,0,Priority
P307,13,12,3,CPU-bound,0,1,0,1,0,1,FCFS
P308,20,18,5,IO-bound,0,1,1,0,0,1,Round Robin
P309,10,4,7,CPU-bound,1,0,0,1,1,0,SJF
P310,13,17,5,CPU-bound,0,1,0,1,0,1,FCFS
P311,7,7,8,CPU-bound,0,1,0,1,1,0,Priority
P312,15,8,8,IO-bound,0,1,1,0,1,1,Priority
P313,11,5,6,IO-bound,1,0,1,0,0,1,SRTF
P314,2,13,7,IO-bound,0,1,1,0,1,0,Round Robin
P315,20,13,5,IO-bound,0,1,1,0,0,1,Round Robin
P316,20,11,4,IO-bound,0,1,1,0,0,1,Round Robin
P317,17,20,2,IO-bound,0,1,1,0,0,1,Round Robin
P318,13,3,7,IO-bound,1,0,1,0,1,1,SRTF
P319,14,12,7,IO-bound,0,1,1,0,1,1,Round Robin
P320,9,14,7,IO-bound,0,1,1,0,1,0,Round Robin
P321,20,10,7,IO-bound,0,1,1,0,1,1,Round Robin
P322,7,17,6,CPU-bound,0,1,0,1,0,0,FCFS
P323,0,9,9,IO-bound,0,1,1,0,1,0,Priority
P324,19,3,3,IO-bound,1,0,1,0,0,1,SRTF
P325,17,12,7,IO-bound,0,1,1,0,1,1,Round Robin
P326,1,6,4,IO-bound,0,1,1,0,0,0,Round Robin
P327,0,7,5,IO-bound,0,1,1,0,0,0,Round Robin
P328,10,9,10,CPU-bound,0,1,0,1,1,0,Priority
P329,16,20,7,IO-bound,0,1,1,0,1,1,Round Robin
P330,4,15,7,IO-bound,0,1,1,0,1,0,Round Robin
P331,12,6,2,CPU-bound,0,1,0,1,0,1,FCFS
P332,18,3,8,IO-bound,1,0,1,0,1,1,Priority
P333,1,3,10,CPU-bound,1,0,0,1,1,0,Priority
P334,15,8,5,CPU-bound,0,1,0,1,0,1,FCFS
P335,16,18,8,CPU-bound,0,1,0,1,1,1,Priority
P336,5,11,10,CPU-bound,0,1,0,1,1,0,Priority
P337,6,3,7,IO-bound,1,0,1,0,1,0,SJF
P338,0,8,4,IO-bound,0,1,1,0,0,0,Round Robin
P339,6,7,10,IO-bound,0,1,1,0,1,0,Priority
P340,0,10,6,CPU-bound,0,1,0,1,0,0,FCFS
P341,0,2,1,CPU-bound,1,0,0,1,0,0,SJF
P342,18,2,3,IO-bound,1,0,1,0,0,1,SRTF
P343,20,3,4,CPU-bound,1,0,0,1,0,1,SRTF
P344,17,12,4,IO-bound,0,1,1,0,0,1,Round Robin
P345,19,3,6,IO-bound,1,0,1,0,0,1,SRTF
P346,10,3,10,CPU-bound,1,0,0,1,1,0,Priority
P347,2,15,1,IO-bound,0,1,1,0,0,0,Round Robin
P348,4,14,10,CPU-bound,0,1,0,1,1,0,Priority
P349,16,8,6,IO-bound,0,1,1,0,0,1,Round Robin
P350,17,6,5,IO-bound,0,1,1,0,0,1,Round Robin
P351,10,11,2,IO-bound,0,1,1,0,0,0,Round Robin
P352,11,19,5,IO-bound,0,1,1,0,0,1,Round Robin
P353,18,3,5,CPU-bound,1,0,0,1,0,1,SRTF
P354,18,11,3,CPU-bound,0,1,0,1,0,1,FCFS
P355,2,4,8,IO-bound,1,0,1,0,1,0,Priority
P356,1,5,3,IO-bound,1,0,1,0,0,0,SJF
P357,1,7,10,IO-bound,0,1,1,0,1,0,Priority
P358,1,2,1,CPU-bound,1,0,0,1,0,0,SJF
P359,8,4,10,IO-bound,1,0,1,0,1,0,Priority
P360,12,5,2,IO-bound,1,0,1,0,0,1,SRTF
P361,7,5,7,IO-bound,1,0,1,0,1,0,SJF
P362,0,18,7,CPU-bound,0,1,0,1,1,0,FCFS
P363,8,11,9,IO-bound,0,1,1,0,1,0,Priority
P364,14,5,7,CPU-bound,1,0,0,1,1,1,SRTF
P365,12,17,3,CPU-bound,0,1,0,1,0,1,FCFS
P366,10,13,10,IO-bound,0,1,1,0,1,0,Priority
P367,9,4,8,CPU-bound,1,0,0,1,1,0,Priority
P368,0,19,7,CPU-bound,0,1,0,1,1,0,FCFS
P369,6,9,4,CPU-bound,0,1,0,1,0,0,FCFS
P370,17,15,10,CPU-bound,0,1,0,1,1,1,Priority
P371,6,3,5,CPU-bound,1,0,0,1,0,0,SJF
P372,2,10,9,CPU-bound,0,1,0,1,1,0,Priority
P373,14,9,10,CPU-bound,0,1,0,1,1,1,Priority
P374,0,14,1,CPU-bound,0,1,0,1,0,0,FCFS
P375,7,19,3,IO-bound,0,1,1,0,0,0,Round Robin
P376,6,5,1,IO-bound,1,0,1,0,0,0,SJF
P377,12,17,6,CPU-bound,0,1,0,1,0,1,FCFS
P378,4,11,1,CPU-bound,0,1,0,1,0,0,FCFS
P379,5,16,9,CPU-bound,0,1,0,1,1,0,Priority
P380,17,4,1,IO-bound,1,0,1,0,0,1,SRTF
P381,3,4,5,CPU-bound,1,0,0,1,0,0,SJF
P382,8,8,5,CPU-bound,0,1,0,1,0,0,FCFS
P383,13,15,8,CPU-bound,0,1,0,1,1,1,Priority
P384,7,9,1,CPU-bound,0,1,0,1,0,0,FCFS
P385,2,18,10,CPU-bound,0,1,0,1,1,0,Priority
P386,4,3,6,IO-bound,1,0,1,0,0,0,SJF
P387,6,11,6,IO-bound,0,1,1,0,0,0,Round Robin
P388,19,11,4,CPU-bound,0,1,0,1,0,1,FCFS
P389,17,10,6,CPU-bound,0,1,0,1,0,1,FCFS
P390,3,3,9,IO-bound,1,0,1,0,1,0,Priority
P391,16,7,3,CPU-bound,0,1,0,1,0,1,FCFS
P392,20,2,2,CPU-bound,1,0,0,1,0,1,SRTF
P393,17,15,6,CPU-bound,0,1,0,1,0,1,FCFS
P394,5,5,3,CPU-bound,1,0,0,1,0,0,SJF
P395,17,12,4,IO-bound,0,1,1,0,0,1,Round Robin
P396,20,14,5,IO-bound,0,1,1,0,0,1,Round Robin
P397,6,10,9,CPU-bound,0,1,0,1,1,0,Priority
P398,5,19,1,IO-bound,0,1,1,0,0,0,Round Robin
P399,1,4,1,CPU-bound,1,0,0,1,0,0,SJF
P400,20,4,5,CPU-bound,1,0,0,1,0,1,SRTF
P401,5,20,7,CPU-bound,0,1,0,1,1,0,FCFS
P402,1,15,5,CPU-bound,0,1,0,1,0,0,FCFS
P403,9,12,9,IO-bound,0,1,1,0,1,0,Priority
P404,13,3,9,CPU-bound,1,0,0,1,1,1,Priority
P405,12,8,5,IO-bound,0,1,1,0,0,1,Round Robin
P406,7,1,1,CPU-bound,1,0,0,1,0,0,SJF
P407,18,4,5,CPU-bound,1,0,0,1,0,1,SRTF
P408,12,5,6,CPU-bound,1,0,0,1,0,1,SRTF
P409,18,16,4,IO-bound,0,1,1,0,0,1,Round Robin
P410,3,5,9,IO-bound,1,0,1,0,1,0,Priority
P411,7,15,3,IO-bound,0,1,1,0,0,0,Round Robin
P412,6,8,6,CPU-bound,0,1,0,1,0,0,FCFS
P413,20,18,10,IO-bound,0,1,1,0,1,1,Priority
P414,2,8,9,IO-bound,0,1,1,0,1,0,Priority
P415,15,5,3,CPU-bound,1,0,0,1,0,1,SRTF
P416,5,16,10,IO-bound,0,1,1,0,1,0,Priority
P417,4,16,2,CPU-bound,0,1,0,1,0,0,FCFS
P418,10,1,8,CPU-bound,1,0,0,1,1,0,Priority
P419,13,14,6,CPU-bound,0,1,0,1,0,1,FCFS
P420,20,13,10,CPU-bound,0,1,0,1,1,1,Priority
P421,15,18,3,IO-bound,0,1,1,0,0,1,Round Robin
P422,15,16,7,IO-bound,0,1,1,0,1,1,Round Robin
P423,18,13,4,IO-bound,0,1,1,0,0,1,Round Robin
P424,16,17,1,IO-bound,0,1,1,0,0,1,Round Robin
P425,13,20,8,IO-bound,0,1,1,0,1,1,Priority
P426,4,3,10,CPU-bound,1,0,0,1,1,0,Priority
P427,1,1,9,CPU-bound,1,0,0,1,1,0,Priority
P428,20,8,8,CPU-bound,0,1,0,1,1,1,Priority
